brokered_by,status, Listing Price ($) , Price per Sqft ,bed,bath,street,city,state,zip_code,House Size (sqft),prev_sold_date,Years Since Last Sale
22611,for_sale," $290,000.00 ", $243.70 ,3,2,429571,Miami,Florida,33196,1190,,
17634,for_sale," $280,000.00 ", $260.47 ,2,2,87924,Miami,Florida,33196,1075,7/6/12,12
64147,for_sale," $275,000.00 ", $255.81 ,2,2,87925,Miami,Florida,33196,1075,,
68487,for_sale," $335,000.00 ", $282.94 ,2,2,358106,Miami,Florida,33186,1184,9/25/20,4
70271,for_sale," $10,500,000.00 "," $1,274.12 ",7,10,1306469,Miami,Florida,33143,8241,5/1/12,13
54224,for_sale," $305,000.00 ", $254.17 ,3,2,1648060,Miami,Florida,33143,1200,12/31/91,33
81066,for_sale," $485,000.00 ", $270.80 ,3,3,225743,Miami,Florida,33186,1791,,
4740,for_sale," $749,000.00 ", $201.56 ,5,4,,Miami,Florida,33176,3716,4/17/95,30
71150,for_sale," $2,125,000.00 ", $601.47 ,5,4,1723628,Miami,Florida,33156,3533,,
58713,for_sale," $399,000.00 ", $256.92 ,3,2,592299,Miami,Florida,33177,1553,,
53290,for_sale," $900,000.00 ", $288.83 ,5,3,650533,Miami,Florida,33177,3116,1/30/18,7
54226,for_sale," $459,000.00 ", $282.46 ,4,2,189862,Miami,Florida,33170,1625,5/2/17,8
103320,for_sale," $604,000.00 ", $334.63 ,4,2,348114,Miami,Florida,33196,1805,,
74913,for_sale," $3,050,000.00 ", $457.89 ,6,5,,Miami,Florida,33196,6661,,
71332,for_sale," $425,000.00 ", $220.32 ,3,3,319509,Miami,Florida,33186,1929,7/26/18,6
54239,for_sale," $318,817.00 ", $215.42 ,3,2,165427,Miami,Florida,33176,1480,,
53353,for_sale," $460,000.00 ", $277.11 ,3,3,285366,Miami,Florida,33186,1660,6/4/18,7
103279,for_sale," $279,900.00 ", $232.86 ,3,2,608619,Miami,Florida,33177,1202,3/2/19,6
91843,for_sale," $848,000.00 ", $326.40 ,5,3,616860,Miami,Florida,33177,2598,,
87143,for_sale," $429,900.00 ", $251.40 ,3,2,195385,Miami,Florida,33177,1710,,
54230,for_sale," $1,169,999.00 ", $381.60 ,4,4,660221,Miami,Florida,33187,3066,,
59663,for_sale," $265,000.00 ", $329.60 ,2,1,1646478,Miami,Florida,33143,804,7/1/97,27
30807,for_sale," $1,580,000.00 "," $1,138.33 ",3,2,479238,Miami,Florida,33170,1388,,
16829,for_sale," $1,100,000.00 ", $453.23 ,4,2,1721948,Miami,Florida,33143,2427,,
17823,for_sale," $525,000.00 ", $342.69 ,3,3,411999,Miami,Florida,33177,1532,,
12289,for_sale," $515,000.00 ", $291.12 ,3,2,156339,Miami,Florida,33157,1769,,
4733,for_sale," $549,000.00 ", $349.24 ,2,3,1755150,Miami,Florida,33156,1572,9/4/18,6
16829,for_sale," $595,000.00 ", $263.62 ,4,3,45426,Miami,Florida,33176,2257,,
91782,for_sale," $269,000.00 ", $332.10 ,2,1,510194,Miami,Florida,33157,810,2/19/19,6
53353,for_sale," $310,000.00 ", $136.74 ,4,2,,Miami,Florida,33176,2267,,
58713,for_sale," $160,000.00 ", $181.82 ,2,1,432907,Miami,Florida,33157,880,,
8061,for_sale," $219,000.00 ", $176.33 ,2,2,104102,Miami,Florida,33176,1242,,
54239,for_sale," $179,817.00 ", $248.02 ,1,2,69934,Miami,Florida,33176,725,,
81066,for_sale," $195,000.00 ", $157.26 ,2,2,480818,Miami,Florida,33157,1240,,
58713,for_sale," $219,900.00 ", $230.50 ,2,2,65664,Miami,Florida,33176,954,5/23/14,11
9556,for_sale," $250,000.00 ", $213.68 ,2,2,1821924,Miami,Florida,33186,1170,,
52654,for_sale," $899,000.00 ", $249.86 ,5,5,659772,Miami,Florida,33177,3598,5/28/19,6
107809,for_sale," $1,175,000.00 ", $457.91 ,4,3,488854,Miami,Florida,33187,2566,,
13589,for_sale," $2,500,000.00 ", $372.41 ,6,8,699778,Miami,Florida,33170,6713,,
82516,for_sale," $489,000.00 ", $339.58 ,3,2,682733,Miami,Florida,33177,1440,,
31662,for_sale," $330,000.00 ", $283.75 ,2,2,138554,Miami,Florida,33196,1163,3/31/11,14
64123,for_sale," $800,000.00 ", $333.61 ,4,3,576745,Miami,Florida,33177,2398,,
71102,for_sale," $379,000.00 ", $243.26 ,3,3,354778,Miami,Florida,33186,1558,,
17582,for_sale," $445,000.00 ", $286.91 ,3,2,541133,Miami,Florida,33177,1551,9/5/17,7
14106,for_sale," $775,000.00 ", $620.00 ,4,2,190819,Miami,Florida,33177,1250,,
58464,for_sale," $449,000.00 ", $284.90 ,3,2,372164,Miami,Florida,33186,1576,,
75537,for_sale," $530,000.00 ", $324.56 ,3,2,,Miami,Florida,33196,1633,,
30807,for_sale," $2,699,900.00 ", $563.65 ,6,7,1831002,Miami,Florida,33176,4790,12/15/20,4
64085,for_sale," $233,900.00 ", $214.59 ,2,2,396130,Miami,Florida,33196,1090,,
17945,for_sale," $189,900.00 ", $274.03 ,1,1,411424,Miami,Florida,33196,693,8/2/19,5
59663,for_sale," $975,000.00 ", $623.00 ,4,3,1697590,Miami,Florida,33156,1565,,
103419,for_sale," $589,900.00 ", $318.86 ,4,3,526890,Miami,Florida,33187,1850,10/13/16,8
35751,for_sale," $595,000.00 ", $437.82 ,3,2,,Miami,Florida,33177,1359,3/6/18,7
75599,for_sale," $360,000.00 ", $232.86 ,3,1,170979,Miami,Florida,33157,1546,,
20471,for_sale," $699,990.00 ", $339.97 ,3,2,215534,Miami,Florida,33186,2059,,
51643,for_sale," $299,000.00 ", $444.94 ,2,1,1401556,Miami,Florida,33143,672,3/20/17,8
53335,for_sale," $549,900.00 ", $292.81 ,3,2,368344,Miami,Florida,33177,1878,,
81066,for_sale," $445,000.00 ", $322.46 ,3,2,489329,Miami,Florida,33177,1380,,
53353,for_sale," $529,000.00 ", $221.52 ,4,4,376769,Miami,Florida,33196,2388,,
71150,for_sale," $535,000.00 ", $415.05 ,4,3,531063,Miami,Florida,33177,1289,6/25/19,5
84920,for_sale," $719,000.00 ", $346.17 ,3,2,1768903,Miami,Florida,33156,2077,,
22611,for_sale," $185,000.00 ", $284.62 ,1,1,79267,Miami,Florida,33176,650,,
7541,for_sale," $1,200,000.00 "," $1,200.00 ",2,1,643702,Miami,Florida,33187,1000,10/6/20,4
58891,for_sale," $307,500.00 ", $261.04 ,2,2,1795063,Miami,Florida,33156,1178,,
83573,for_sale," $449,000.00 ", $261.05 ,3,2,193157,Miami,Florida,33177,1720,,
71278,for_sale," $260,000.00 ", $241.86 ,2,1,1648996,Miami,Florida,33143,1075,6/20/14,11
54240,for_sale," $675,000.00 ", $215.24 ,6,4,505685,Miami,Florida,33157,3136,,
22611,for_sale," $699,900.00 ", $972.08 ,2,1,72288,Miami,Florida,33157,720,,
1967,for_sale," $405,000.00 ", $278.93 ,3,3,246778,Miami,Florida,33186,1452,,
34700,for_sale," $950,000.00 ", $339.89 ,4,3,409107,Miami,Florida,33196,2795,,
35944,for_sale," $355,000.00 ", $322.73 ,2,2,110690,Miami,Florida,33176,1100,,
35944,for_sale," $749,999.00 ", $247.36 ,8,4,81356,Miami,Florida,33157,3032,12/12/17,7
14065,for_sale," $1,250,000.00 ", $374.36 ,4,3,1823226,Miami,Florida,33176,3339,1/6/22,3
8061,for_sale," $375,000.00 ", $316.19 ,3,1,182529,Miami,Florida,33177,1186,,
62789,for_sale," $525,000.00 ", $314.75 ,4,2,644901,Miami,Florida,33177,1668,,
81016,for_sale," $999,999.00 ", $493.83 ,5,3,1743604,Miami,Florida,33176,2025,,
98232,for_sale," $495,000.00 ", $337.42 ,2,2,1770987,Miami,Florida,33156,1467,,
31763,for_sale," $1,100,000.00 ", $296.98 ,6,4,,Miami,Florida,33176,3704,,
55984,for_sale," $250,000.00 ", $232.56 ,2,2,80827,Miami,Florida,33196,1075,,
95294,for_sale," $229,000.00 ", $263.22 ,2,2,1822953,Miami,Florida,33196,870,3/7/22,3
18794,for_sale," $795,000.00 ", $316.61 ,4,4,291956,Miami,Florida,33170,2511,4/13/21,4
22611,for_sale," $1,399,000.00 ", $532.95 ,3,3,640557,Miami,Florida,33187,2625,,
69436,for_sale," $2,389,000.00 ", $376.22 ,7,6,589397,Miami,Florida,33187,6350,,
76854,for_sale," $399,900.00 ", $244.14 ,3,3,413989,Miami,Florida,33196,1638,8/3/21,3
9212,for_sale," $187,000.00 ", $215.94 ,2,1,1723750,Miami,Florida,33156,866,,
102226,for_sale," $700,000.00 ", $383.14 ,4,2,381303,Miami,Florida,33187,1827,,
57366,for_sale," $1,500,000.00 ", $609.01 ,3,3,621478,Miami,Florida,33187,2463,,
47223,for_sale," $510,000.00 ", $387.83 ,4,2,357037,Miami,Florida,33177,1315,,
54227,for_sale," $1,400,000.00 ", $328.33 ,5,4,476577,Miami,Florida,33187,4264,,
3206,for_sale," $505,000.00 ", $304.03 ,2,3,1716459,Miami,Florida,33143,1661,,
28939,for_sale," $935,000.00 ", $413.72 ,5,3,150326,Miami,Florida,33176,2260,,
52572,for_sale," $1,475,000.00 ", $512.33 ,4,3,1793587,Miami,Florida,33176,2879,,
57984,for_sale," $774,900.00 ", $349.84 ,4,2,457450,Miami,Florida,33187,2215,,
14161,for_sale," $328,600.00 ", $249.13 ,3,3,327843,Miami,Florida,33177,1319,,
57984,for_sale," $595,000.00 ", $262.46 ,4,3,420657,Miami,Florida,33187,2267,,
46993,for_sale," $399,000.00 ", $275.17 ,3,2,503786,Miami,Florida,33157,1450,4/11/18,7
7035,for_sale," $480,000.00 ", $266.08 ,4,2,730955,Miami,Florida,33170,1804,,
23784,for_sale," $665,000.00 ", $252.95 ,3,4,432348,Miami,Florida,33196,2629,,
93006,for_sale," $300,000.00 ", $370.83 ,2,1,379427,Miami,Florida,33176,809,,
77953,for_sale," $449,999.00 ", $264.24 ,3,1,350803,Miami,Florida,33176,1703,,
